Date,Open,High,Low,Close,Volume
2021-08-31,334.7085778773784,337.1751918150961,332.3357570920614,336.6687316894531,646700
2021-09-01,337.46595476991604,344.57502973429916,335.22442133977995,343.618408203125,469800
2021-09-02,343.9655015128134,345.9913140360771,339.45432708195557,343.927978515625,528000
2021-09-03,343.993600651214,345.3066191989652,340.392166082386,343.7122497558594,749500
2021-09-07,343.0181977603763,343.9935952182969,336.7156802090526,342.4742431640625,443900
2021-09-08,343.33704618845616,346.60085938932724,340.7203972320134,345.6817321777344,402400
2021-09-09,345.9631094760152,345.9631094760152,337.22211329420725,337.3065185546875,692600
2021-09-10,338.6007578711051,338.69455102557043,329.6628169241167,330.90081787109375,749200
2021-09-13,334.67113250794426,335.6840529941436,329.3815352212818,330.7508239746094,498900
2021-09-14,332.99228981050373,337.48471614038573,330.8351901680628,334.4178771972656,542100
2021-09-15,333.4987287791847,334.952451160229,330.600700540956,333.3768005371094,385500
2021-09-16,333.96775553980814,334.80247765386093,330.6007892344031,333.3487548828125,325600
2021-09-17,330.5538919614906,333.5738491150144,328.28422298878314,330.7883605957031,825800
2021-09-20,329.4846721626598,334.50230621616004,327.9559322230928,331.47296142578125,521500
2021-09-21,332.1013163223057,336.7156421415164,330.9195854707657,332.3357849121094,358000
2021-09-22,333.6675682590873,338.38507539252254,330.7976748566523,336.209228515625,355400
2021-09-23,335.46824979976435,336.1622676003747,328.9031299122354,331.6792297363281,402500
2021-09-24,330.056830813232,331.61367741022605,322.2818426245782,323.5010681152344,683700
2021-09-27,323.2102347782569,323.2102347782569,314.9850875196141,315.1257629394531,584000
2021-09-28,312.5184974013552,314.4692634892195,309.0952616895892,310.9991455078125,623700
2021-09-29,312.83740642141373,314.6944081787662,311.0648385535542,312.1058654785156,442300
2021-09-30,313.493962574136,314.6006476962914,310.0050680327981,310.033203125,472200
2021-10-01,310.6051770825307,315.3133239813325,308.354284680512,312.8467102050781,429300
2021-10-04,311.70253522384905,314.43175292305875,309.20778610407325,313.40008544921875,457900
2021-10-05,313.4001321775138,314.24421346499895,308.72014779315,310.21136474609375,490200
2021-10-06,309.13274194756895,316.12930500659337,306.7974440416089,315.89483642578125,687300
2021-10-07,316.40125471632035,322.21608672586325,316.40125471632035,316.90771484375,434400
2021-10-08,316.5888307001174,316.5888307001174,308.94516125894427,309.3671875,395200
2021-10-11,309.4141782192077,312.29345978935066,307.8104208461007,309.32977294921875,318000
2021-10-12,310.1550919553137,315.4728240568282,309.40477522258175,313.175048828125,362700
2021-10-13,310.6896285201672,312.1245751441925,303.76813979476265,306.403564453125,899700
2021-10-14,308.06359298553355,311.01789150298464,305.73765426281136,306.56298828125,614000
2021-10-15,308.08243429836136,310.42712092091676,302.63338487727555,306.5912170410156,486800
2021-10-18,304.3589779393875,306.844367898354,302.9521663950612,303.3085632324219,393800
2021-10-19,309.1233876210802,314.85378608957114,306.74117878778867,311.5430908203125,549900
2021-10-20,311.5619145564634,316.1668530787944,311.5619145564634,315.41656494140625,280000
